source_id,source_type,category,priority,technical_details,suggested_title
3,AppOne,Bug,Medium,"No device or OS info provided. User reports app crashes sometimes; no steps to reproduce specified. Date: 2023-01-17. Severity: Medium with moderate confidence.","Intermittent app crashes reported by user in AppOne"
6,AppOne,Bug,High,"No device or OS info provided. User reports unexpected logout disrupting sessions; no reproduction steps available. Date: 2023-01-20. Severity: High with high confidence.","Fix unexpected user logout causing session disruption in AppOne"
8,AppTwo,Bug,Medium,"No device or OS info provided. User reports some bugs affecting average experience; no detailed reproduction steps. Date: 2023-01-22. Severity: Low to Medium with moderate confidence.","Address reported bugs impacting user experience on AppTwo"
NA,AppUnknown,Bug,High,"No device or OS info provided. User feedback: app crashes every time a photo upload is attempted. Steps to reproduce: try uploading a photo. Severity: High with high confidence.","Resolve consistent crash occurring during photo upload"
4,AppThree,Complaint,Medium,"No device or OS info provided. User states app is not very intuitive, impacting usability. Date: 2023-01-18. Severity: Medium with moderate confidence.","Improve app intuitiveness and usability for AppThree"
10,AppThree,Complaint,Medium,"No device or OS info provided. User reports excessive ads that degrade experience. Date: 2023-01-24. Severity: Medium with moderate confidence.","Reduce or optimize ad frequency to improve user experience in AppThree"
NA,AppUnknown,Complaint,High,"No device or OS info provided. User expresses very negative sentiment, labeling app as garbage and waste of time; no technical details. Severity: High with moderate confidence.","Investigate and address high dissatisfaction expressed by user"
2,AppTwo,Feature Request,Medium,"User feedback: 'Useful but could use some improvements in UI.' Rating: 4 stars. Confidence: 0.90. Business value: Medium to High.","Enhance UI design for better user experience in AppTwo"
7,AppThree,Feature Request,Medium,"User feedback: 'Good app but needs more customization options.' Confidence: 0.90. Business value: Medium.","Add more customization options to increase user personalization in AppThree"
NA,AppUnknown,Feature Request,High,"User feedback: 'Would love to have a dark mode option for the interface.' Confidence: 0.90. Business value: High.","Implement dark mode option to improve usability and reduce eye strain"
